game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
161,1981,w,1/2-1/2,0.5,31,B71,6,-1,13,-1,0.0,29,k,0.6666666666666666,0,-1,-1,-1,-1,48.5,33.666666666666664,1.478239532529021,3,0,1,3,0
162,1981,w,1/2-1/2,0.5,35,D55,11,-1,11,-1,0.0,21,k,3.0,0,-1,-1,-1,-1,40.0,43.5,0.9110817484101237,2,0,0.0,3,0
163,1981,w,1/2-1/2,0.5,80,E16,17,65,26,-1,0.0,13,k,2.85,0,0,0,0,2,43.7,39.76190476190476,1.1046349843620342,8,1,4,5,0
164,1981,w,1/2-1/2,0.5,166,E42,10,124,26,-1,0.0,29,k,1.8,0,0,0,0,3,45.5,32.904761904761905,1.3913549315058227,9,0,3,11,0
168,1981,w,1-0,1.0,81,E12,11,49,23,58,0.2962962962962963,17,k,2.7,0,0,0,0,2,36.65,36.42857142857143,1.047994678107036,9,1,9,5,0
169,1981,w,1-0,1.0,81,D34,7,36,69,-1,0.0,15,k,2.95,0,0,0,0,2,42.6,36.714285714285715,1.1669452292586222,7,0,5,9,0
170,1981,w,1-0,1.0,60,E48,11,-1,30,-1,0.0,15,k,1.25,0,0,1,0,3,45.35,36.142857142857146,1.2620738501829032,7,0,3,3,0
182,1981,w,1-0,1.0,77,C70,10,54,19,60,0.23376623376623376,25,k,2.65,0,0,1,0,2,41.2,33.76190476190476,1.2224148199604974,9,0,3,10,0
183,1981,w,1/2-1/2,0.5,81,C42,5,-1,18,-1,0.0,13,k,3.0,0,0,0,0,2,40.4,33.23809523809524,1.2290554157253584,8,1,5,4,0
184,1981,w,1-0,1.0,85,D85,7,23,10,-1,0.0,-1,none,0.65,12,0,1,0,2,37.2,37.04761904761905,1.0287022546509588,12,1,9,3,0
185,1981,w,1/2-1/2,0.5,77,D18,6,76,23,-1,0.0,15,k,3.0,0,0,1,0,3,39.7,43.476190476190474,0.9204978107932551,6,0,2,7,0
186,1981,w,1-0,1.0,59,E12,11,-1,11,-1,0.0,31,k,2.0,0,0,0,0,2,41.75,30.95,1.3961819965271693,6,2,4,3,1
189,1981,w,1/2-1/2,0.5,96,A54,19,47,21,59,0.3958333333333333,23,q,1.95,0,2,0,0,2,37.7,35.76190476190476,1.0660282084957224,13,4,10,3,1
192,1981,w,0-1,0.0,83,D22,4,-1,19,-1,0.0,25,k,1.15,0,0,0,0,2,38.25,43.04761904761905,0.8847839440662757,6,2,8,3,0
193,1981,w,1-0,1.0,57,D38,9,-1,22,-1,0.0,-1,none,1.4210526315789473,7,0,2,0,3,48.21052631578947,33.26315789473684,1.4967195641711877,8,2,5,1,1
195,1981,w,0-1,0.0,114,E74,15,84,49,-1,0.0,27,k,2.7,0,0,1,1,3,47.05,35.61904761904762,1.3368966586669053,11,6,3,8,0
197,1982,w,1-0,1.0,77,A55,18,-1,34,-1,0.0,13,k,3.0,0,0,1,0,3,40.35,39.95238095238095,1.017227693159435,9,1,5,2,1
198,1982,w,1/2-1/2,0.5,25,E12,11,-1,-1,-1,0.0,17,k,3.0,0,-1,-1,-1,-1,48.0,28.666666666666668,1.5973502304147464,1,0,0.0,1,0
201,1982,w,1-0,1.0,83,E12,12,23,28,-1,0.0,25,q,1.1,0,0,0,0,2,38.3,30.238095238095237,1.301962171200786,8,1,8,3,0
204,1982,w,1-0,1.0,49,E12,11,-1,18,-1,0.0,21,k,3.0,0,0,1,0,2,44.46666666666667,40.46666666666667,1.1344352272000597,5,1,7,2,1
206,1982,w,1-0,1.0,47,E11,10,-1,10,-1,0.0,15,k,3.0,0,0,0,0,2,53.642857142857146,31.857142857142858,1.7623902443195503,4,0,3,0.0,0
207,1982,w,1/2-1/2,0.5,33,E15,12,-1,12,-1,0.0,21,k,3.0,0,-1,-1,-1,-1,37.42857142857143,29.857142857142858,1.212364365265737,3,0,3,0.0,0
208,1982,w,1-0,1.0,77,E12,11,61,18,-1,0.0,21,k,3.0,0,0,2,0,3,39.25,41.0,0.976441791136949,12,2,7,7,1
211,1982,w,1-0,1.0,101,E32,12,59,12,67,0.3465346534653465,29,k,2.65,0,0,1,0,2,41.25,37.76190476190476,1.0974851083216337,14,2,8,5,0
213,1982,w,1/2-1/2,0.5,24,E12,11,-1,16,-1,0.0,23,k,2.0,0,-1,-1,-1,-1,36.5,40.333333333333336,0.8849067599067599,2,0,3,1,0
216,1982,w,1-0,1.0,41,A67,8,-1,23,-1,0.0,21,k,2.0,0,0,2,1,3,42.63636363636363,38.09090909090909,1.1076495486402607,6,2,2,3,0
218,1982,w,1-0,1.0,95,A75,8,37,24,87,0.09473684210526316,21,k,2.75,0,0,0,0,2,36.85,33.333333333333336,1.1228239904942625,11,4,6,3,1
